index,type,size,datatype,number of elements
580,h2d,1229600,double,153700
581,h2d,1229600,double,153700
582,h2d,1229600,double,153700
583,h2d,1229600,double,153700
584,h2d,1229600,double,153700
585,h2d,1229600,double,153700
586,h2d,1229600,double,153700
587,h2d,1229600,double,153700
588,d2h,2048,double,256
589,h2d,1229600,double,153700
590,h2d,1229600,double,153700
591,h2d,1229600,double,153700
592,h2d,1229600,double,153700
593,h2d,1229600,double,153700
594,h2d,1229600,double,153700
595,h2d,1229600,double,153700
596,h2d,1229600,double,153700
597,h2d,1229600,double,153700
598,h2d,1229600,double,153700
599,h2d,1229600,double,153700
600,h2d,1229600,double,153700
601,h2d,1229600,double,153700
602,h2d,1229600,double,153700
603,h2d,1229600,double,153700
604,h2d,1229600,double,153700
605,h2d,1229600,double,153700
606,h2d,1229600,double,153700
607,h2d,1229600,double,153700
608,h2d,1229600,double,153700
609,h2d,1229600,double,153700
610,h2d,1229600,double,153700
611,h2d,1229600,double,153700
612,h2d,1229600,double,153700
613,d2h,2048,double,256
614,h2d,1229600,double,153700
615,h2d,1229600,double,153700
616,h2d,1229600,double,153700
617,h2d,1229600,double,153700
618,h2d,1229600,double,153700
619,h2d,1229600,double,153700
620,h2d,1229600,double,153700
621,h2d,1229600,double,153700
622,h2d,1229600,double,153700
623,h2d,1229600,double,153700
624,h2d,1229600,double,153700
625,h2d,1229600,double,153700
626,h2d,1229600,double,153700
627,h2d,1229600,double,153700
628,h2d,1229600,double,153700
629,h2d,1229600,double,153700
630,h2d,1229600,double,153700
631,h2d,1229600,double,153700
632,h2d,1229600,double,153700
633,h2d,1229600,double,153700
634,h2d,1229600,double,153700
635,h2d,1229600,double,153700
636,h2d,1229600,double,153700
637,h2d,1229600,double,153700
638,d2h,2048,double,256
639,h2d,1229600,double,153700
640,h2d,1229600,double,153700
641,h2d,1229600,double,153700
642,h2d,1229600,double,153700
643,h2d,1229600,double,153700
644,h2d,1229600,double,153700
645,h2d,1229600,double,153700
646,h2d,1229600,double,153700
647,h2d,1229600,double,153700
648,h2d,1229600,double,153700
649,h2d,1229600,double,153700
650,h2d,1229600,double,153700
651,h2d,1229600,double,153700
652,h2d,1229600,double,153700
653,h2d,1229600,double,153700
654,h2d,1229600,double,153700
655,h2d,1229600,double,153700
656,h2d,1229600,double,153700
657,h2d,1229600,double,153700
658,h2d,1229600,double,153700
659,h2d,1229600,double,153700
660,h2d,1229600,double,153700
661,h2d,1229600,double,153700
662,h2d,1229600,double,153700
663,d2h,2048,double,256
664,h2d,1229600,double,153700
665,h2d,1229600,double,153700
666,h2d,1229600,double,153700
667,h2d,1229600,double,153700
668,h2d,1229600,double,153700
669,h2d,1229600,double,153700
670,h2d,1229600,double,153700
671,h2d,1229600,double,153700
672,h2d,1229600,double,153700
673,h2d,1229600,double,153700
674,h2d,1229600,double,153700
675,h2d,1229600,double,153700
676,h2d,1229600,double,153700
677,h2d,1229600,double,153700
678,h2d,1229600,double,153700
679,h2d,1229600,double,153700
680,h2d,1229600,double,153700
681,h2d,1229600,double,153700
682,h2d,1229600,double,153700
683,h2d,1229600,double,153700
684,h2d,1229600,double,153700
685,h2d,1229600,double,153700
686,h2d,1229600,double,153700
687,h2d,1229600,double,153700
688,d2h,2048,double,256
689,h2d,1229600,double,153700
690,h2d,1229600,double,153700
691,h2d,1229600,double,153700
692,h2d,1229600,double,153700
693,h2d,1229600,double,153700
694,h2d,1229600,double,153700
695,h2d,1229600,double,153700
696,h2d,1229600,double,153700
697,h2d,1229600,double,153700
698,h2d,1229600,double,153700
699,h2d,1229600,double,153700
700,h2d,1229600,double,153700
701,h2d,1229600,double,153700
702,h2d,1229600,double,153700
703,h2d,1229600,double,153700
704,h2d,1229600,double,153700
705,h2d,1229600,double,153700
706,h2d,1229600,double,153700
707,h2d,1229600,double,153700
708,h2d,1229600,double,153700
709,h2d,1229600,double,153700
710,h2d,1229600,double,153700
711,h2d,1229600,double,153700
